53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352
51.137867,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.20128,51.20128,51.20128,51.20128,51.20128,51.137867,51.20128,51.137867,51.137867,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.20128,51.20128,51.20128,51.20128,51.20128,51.137867,51.20128,51.137867,51.137867,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.20128,51.20128,51.20128,51.20128,51.20128,51.137867,51.20128,51.137867,51.137867,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.137867,51.20128,51.20128,51.20128,51.20128,51.20128,51.137867,51.20128,51.137867,51.137867,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455,51.011044,51.011044,51.074455,51.074455,51.074455,51.074455,51.074455,51.074455
56.59613,56.659657,56.72318,56.786705,56.786705,56.786705,56.913765,56.913765,56.72318,56.659657,56.59613,56.532608,56.59613,56.469086,56.469086,56.469086,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.913765,56.977295,56.913765,56.850235,56.72318,56.72318,56.59613,56.59613,56.59613,56.659657,56.72318,56.786705,56.850235,56.977295,56.977295,56.977295,57.040825,56.977295,56.850235,56.786705,56.786705,56.786705,56.850235,56.913765,56.977295,56.977295,56.913765,56.977295,57.040825,57.040825,56.913765,56.850235,56.850235,56.659657,56.532608,56.469086,56.469086,56.532608,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.786705,56.913765,56.913765,56.72318,56.659657,56.59613,56.532608,56.59613,56.469086,56.469086,56.469086,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.913765,56.977295,56.913765,56.850235,56.72318,56.72318,56.59613,56.59613,56.59613,56.659657,56.72318,56.786705,56.850235,56.977295,56.977295,56.977295,57.040825,56.977295,56.850235,56.786705,56.786705,56.786705,56.850235,56.913765,56.977295,56.977295,56.913765,56.977295,57.040825,57.040825,56.913765,56.850235,56.850235,56.659657,56.532608,56.469086,56.469086,56.532608,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.786705,56.913765,56.913765,56.72318,56.659657,56.59613,56.532608,56.59613,56.469086,56.469086,56.469086,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.913765,56.977295,56.913765,56.850235,56.72318,56.72318,56.59613,56.59613,56.59613,56.659657,56.59613,56.59613,56.59613,56.659657,56.72318,56.786705,56.850235,56.977295,56.977295,56.977295,57.040825,56.977295,56.850235,56.786705,56.786705,56.786705,56.850235,56.913765,56.977295,56.977295,56.913765,56.977295,57.040825,57.040825,56.913765,56.850235,56.850235,56.659657,56.532608,56.469086,56.469086,56.532608,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.786705,56.913765,56.913765,56.72318,56.659657,56.59613,56.532608,56.59613,56.469086,56.469086,56.469086,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.913765,56.977295,56.913765,56.850235,56.72318,56.72318,56.59613,56.59613,56.59613,56.659657,56.72318,56.786705,56.850235,56.977295,56.977295,56.977295,57.040825,56.977295,56.850235,56.786705,56.786705,56.786705,56.850235,56.913765,56.977295,56.977295,56.913765,56.977295,57.040825,57.040825,56.913765,56.850235,56.850235,56.659657,56.532608,56.469086,56.469086,56.532608,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.786705,56.913765,56.913765,56.72318,56.659657,56.59613,56.532608,56.59613,56.469086,56.469086,56.469086,56.532608,56.59613,56.659657,56.72318,56.786705,56.786705,56.913765,56.977295,56.913765,56.850235,56.72318,56.72318,56.59613,56.59613,56.59613,56.659657,56.72318,56.786705,56.850235,56.977295,56.977295,56.59613,56.59613,56.59613,56.59613,56.59613,56.659657,56.72318,56.786705,56.850235,56.977295,56.977295,56.977295,57.040825,56.977295,56.850235
55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.087986,56.087986,56.087986,56.087986,56.024475,56.024475,56.024475,56.024475,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.087986,56.087986,56.087986,56.087986,56.024475,56.024475,56.024475,56.024475,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.087986,56.087986,56.087986,56.087986,56.024475,56.024475,56.024475,56.024475,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.024475,56.087986,56.087986,56.087986,56.087986,56.024475,56.024475,56.024475,56.024475,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.897453,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096,55.96096
45.11931,45.11931,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.182602,45.11931,45.11931,45.11931,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.11931,45.11931,45.11931,45.11931,45.11931,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015,45.056015
36.95068,36.912537,36.88202,36.889645,36.83624,36.965942,36.904907,36.935425,36.920162,36.904907,36.904907,36.8515,36.897274,36.85913,36.889645,36.889645,36.973568,36.897274,36.866756,36.897274,36.935425,36.920162,36.897274,36.866756,36.87439,36.904907,36.927795,36.904907,36.927795,36.889645,36.889645,36.889645,36.920162,36.9812,36.866756,36.920162,36.912537,36.920162,36.904907,36.828613,36.83624,36.8515,36.83624,36.904907,36.889645,36.904907,36.889645,36.920162,36.958313,36.920162,36.897274,36.927795,36.912537,36.94305,36.904907,36.8515,36.94305,36.88202,36.927795,36.866756,36.935425,36.95068,36.912537,36.88202,36.889645,36.83624,36.965942,36.904907,36.935425,36.920162,36.904907,36.904907,36.8515,36.897274,36.85913,36.889645,36.889645,36.973568,36.897274,36.866756,36.897274,36.935425,36.920162,36.897274,36.866756,36.87439,36.904907,36.927795,36.904907,36.927795,36.889645,36.889645,36.889645,36.920162,36.9812,36.866756,36.920162,36.912537,36.920162,36.904907,36.828613,36.83624,36.8515,36.83624,36.904907,36.889645,36.904907,36.889645,36.920162,36.958313,36.920162,36.897274,36.927795,36.912537,36.94305,36.904907,36.8515,36.94305,36.88202,36.927795,36.866756,36.935425,36.95068,36.912537,36.88202,36.889645,36.83624,36.965942,36.904907,36.935425,36.920162,36.904907,36.904907,36.8515,36.897274,36.85913,36.889645,36.889645,36.973568,36.897274,36.866756,36.897274,36.935425,36.920162,36.897274,36.866756,36.87439,36.904907,36.927795,36.904907,36.927795,36.889645,36.889645,36.889645,36.927795,36.889645,36.889645,36.889645,36.920162,36.9812,36.866756,36.920162,36.912537,36.920162,36.904907,36.828613,36.83624,36.8515,36.83624,36.904907,36.889645,36.904907,36.889645,36.920162,36.958313,36.920162,36.897274,36.927795,36.912537,36.94305,36.904907,36.8515,36.94305,36.88202,36.927795,36.866756,36.935425,36.95068,36.912537,36.88202,36.889645,36.83624,36.965942,36.904907,36.935425,36.920162,36.904907,36.904907,36.8515,36.897274,36.85913,36.889645,36.889645,36.973568,36.897274,36.866756,36.897274,36.935425,36.920162,36.897274,36.866756,36.87439,36.904907,36.927795,36.904907,36.927795,36.889645,36.889645,36.889645,36.920162,36.9812,36.866756,36.920162,36.912537,36.920162,36.904907,36.828613,36.83624,36.8515,36.83624,36.904907,36.889645,36.904907,36.889645,36.920162,36.958313,36.920162,36.897274,36.927795,36.912537,36.94305,36.904907,36.8515,36.94305,36.88202,36.927795,36.866756,36.935425,36.95068,36.912537,36.88202,36.889645,36.83624,36.965942,36.904907,36.935425,36.920162,36.904907,36.904907,36.8515,36.897274,36.85913,36.889645,36.889645,36.973568,36.897274,36.866756,36.897274,36.935425,36.920162,36.897274,36.866756,36.87439,36.904907,36.927795,36.904907,36.927795,36.889645,36.889645,36.889645,36.920162,36.9812,36.866756,36.920162,36.912537,36.927795,36.889645,36.927795,36.889645,36.889645,36.889645,36.920162,36.9812,36.866756,36.920162,36.912537,36.920162,36.904907,36.828613,36.83624
0.59328604,0.59353024,0.5937744,0.5931641,0.5925537,0.5924316,0.59353024,0.5937744,0.5940186,0.59438473,0.5929199,0.59267575,0.59267575,0.59450686,0.5924316,0.59353024,0.5925537,0.5937744,0.59304196,0.5923096,0.5940186,0.59340817,0.5940186,0.59536135,0.59365237,0.59450686,0.59340817,0.59304196,0.5931641,0.5937744,0.59340817,0.59353024,0.5946289,0.59426266,0.59353024,0.59340817,0.5918213,0.59450686,0.59353024,0.5940186,0.59426266,0.5931641,0.5937744,0.5937744,0.59353024,0.5940186,0.59365237,0.59353024,0.59267575,0.59365237,0.5931641,0.59353024,0.59304196,0.59353024,0.59353024,0.59389645,0.59450686,0.5924316,0.59340817,0.59304196,0.59340817,0.59328604,0.59353024,0.5937744,0.5931641,0.5925537,0.5924316,0.59353024,0.5937744,0.5940186,0.59438473,0.5929199,0.59267575,0.59267575,0.59450686,0.5924316,0.59353024,0.5925537,0.5937744,0.59304196,0.5923096,0.5940186,0.59340817,0.5940186,0.59536135,0.59365237,0.59450686,0.59340817,0.59304196,0.5931641,0.5937744,0.59340817,0.59353024,0.5946289,0.59426266,0.59353024,0.59340817,0.5918213,0.59450686,0.59353024,0.5940186,0.59426266,0.5931641,0.5937744,0.5937744,0.59353024,0.5940186,0.59365237,0.59353024,0.59267575,0.59365237,0.5931641,0.59353024,0.59304196,0.59353024,0.59353024,0.59389645,0.59450686,0.5924316,0.59340817,0.59304196,0.59340817,0.59328604,0.59353024,0.5937744,0.5931641,0.5925537,0.5924316,0.59353024,0.5937744,0.5940186,0.59438473,0.5929199,0.59267575,0.59267575,0.59450686,0.5924316,0.59353024,0.5925537,0.5937744,0.59304196,0.5923096,0.5940186,0.59340817,0.5940186,0.59536135,0.59365237,0.59450686,0.59340817,0.59304196,0.5931641,0.5937744,0.59340817,0.59353024,0.5931641,0.5937744,0.59340817,0.59353024,0.5946289,0.59426266,0.59353024,0.59340817,0.5918213,0.59450686,0.59353024,0.5940186,0.59426266,0.5931641,0.5937744,0.5937744,0.59353024,0.5940186,0.59365237,0.59353024,0.59267575,0.59365237,0.5931641,0.59353024,0.59304196,0.59353024,0.59353024,0.59389645,0.59450686,0.5924316,0.59340817,0.59304196,0.59340817,0.59328604,0.59353024,0.5937744,0.5931641,0.5925537,0.5924316,0.59353024,0.5937744,0.5940186,0.59438473,0.5929199,0.59267575,0.59267575,0.59450686,0.5924316,0.59353024,0.5925537,0.5937744,0.59304196,0.5923096,0.5940186,0.59340817,0.5940186,0.59536135,0.59365237,0.59450686,0.59340817,0.59304196,0.5931641,0.5937744,0.59340817,0.59353024,0.5946289,0.59426266,0.59353024,0.59340817,0.5918213,0.59450686,0.59353024,0.5940186,0.59426266,0.5931641,0.5937744,0.5937744,0.59353024,0.5940186,0.59365237,0.59353024,0.59267575,0.59365237,0.5931641,0.59353024,0.59304196,0.59353024,0.59353024,0.59389645,0.59450686,0.5924316,0.59340817,0.59304196,0.59340817,0.59328604,0.59353024,0.5937744,0.5931641,0.5925537,0.5924316,0.59353024,0.5937744,0.5940186,0.59438473,0.5929199,0.59267575,0.59267575,0.59450686,0.5924316,0.59353024,0.5925537,0.5937744,0.59304196,0.5923096,0.5940186,0.59340817,0.5940186,0.59536135,0.59365237,0.59450686,0.59340817,0.59304196,0.5931641,0.5937744,0.59340817,0.59353024,0.5946289,0.59426266,0.59353024,0.59340817,0.5918213,0.5931641,0.5937744,0.5931641,0.5937744,0.59340817,0.59353024,0.5946289,0.59426266,0.59353024,0.59340817,0.5918213,0.59450686,0.59353024,0.5940186,0.59426266
